StarterID,HorseName,RaceDate,TrackID,RaceNumber,CurrentTrainer,Raced_in_NA,NA_races
1725518,Transparent,10/5/2016 0:00,BEL,5,David Jacobson,Y,20
1725541,Stay the Night,10/5/2016 0:00,BEL,8,Claude R. McGaughey III,Y,1
1725587,Achnaha (IRE),10/5/2016 0:00,BEL,8,George Weaver,Y,14
1725905,Codrington College (IRE),10/5/2016 0:00,DEL,5,Jonathan E. Sheppard,Y,5
1724855,Helper Rye (ARG),10/5/2016 0:00,GPW,5,David Rakoff,Y,38
1724278,Lideris,10/5/2016 0:00,MED,4,David Jacobson,Y,13
1726274,Moon River (IRE),10/5/2016 0:00,PID,1,H. Graham Motion,N,0
1726273,Syntax (IRE),10/5/2016 0:00,PID,4,Michael W. Dickinson,Y,13
1724620,Mr Lexis,10/5/2016 0:00,RP ,8,W. Bret Calhoun,Y,22
1726352,Munjaz (GB),10/6/2016 0:00,BEL,8,Kiaran P. McLaughlin,Y,4
1725667,Voila La Victoire (IRE),10/6/2016 0:00,MED,5,Thomas Albertrani,Y,12
1726561,Amboseli,10/6/2016 0:00,SA ,7,James M. Cassidy,Y,3
1726605,Barleysugar (IRE),10/6/2016 0:00,SA ,7,Edward R. Freeman,Y,2
1726361,Transparent,10/7/2016 0:00,BEL,8,David Jacobson,Y,20
1726383,Keen Ice,10/7/2016 0:00,BEL,8,Todd A. Pletcher,Y,14
1727482,Cerro (IRE),10/7/2016 0:00,KEE,3,Michael J. Maker,Y,34
1727397,The Great War,10/7/2016 0:00,KEE,8,Wesley A. Ward,Y,9
1726438,Legendary King,10/7/2016 0:00,LRL,3,Hector Sarmiento,Y,57
1726485,Frasero (ARG),10/7/2016 0:00,LRL,3,Wayne C. Cole,Y,17
1726539,Lady Allegra (IRE),10/7/2016 0:00,LRL,6,Arnaud Delacour,Y,2
1726538,Shar Shar (IRE),10/7/2016 0:00,LRL,9,Todd J. Wyatt,Y,5
1724686,Pedrolino,10/7/2016 0:00,RET,1,Nathan D. Hatcher,Y,58
1726608,Celebrated Talent,10/7/2016 0:00,SA ,3,Ronald W. Ellis,Y,23
1726661,Cape Wolfe (GB),10/7/2016 0:00,SA ,3,Philip D'Amato,Y,7
1726660,Peach Cove (NZ),10/7/2016 0:00,SA ,5,Richard E. Mandella,Y,1
1726679,Optimism And Hope (IRE),10/7/2016 0:00,SA ,8,Philip D'Amato,Y,9
1727158,Isi Antonia (CHI),10/8/2016 0:00,PRX,9,Jennie Wilhelm-Saldana,Y,15
1727625,Snow Trouble,10/9/2016 0:00,PRX,9,"James L. Lawrence, II",Y,12
